Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,EF,Tot
"Bontempelli, Marcus",5,11,9,10,4,13,11,16,8,10,12,18,18,8,12,18,14,14,211.0
"Bruce, Josh",2,3,3,3,7,2,8,-,4,1,4,,1,3,5,3,4,2,55.0
"Butler, Louis",,,,11,,13,,,,,,,,,,,,,24.0
"Cavarra, Ben",2,,,,,,,,,,,8,5,,,,,,15.0
"Cordy, Zaine",9,,7,7,7,4,5,6,6,7,6,,,,6,7,7,2,86.0
"Crozier, Hayden",12,13,12,13,11,,8,11,10,7,,,10,10,4,13,9,11,154.0
"Dale, Bailey",1,4,7,11,7,3,3,,,,5,7,,,,,,,48.0
"Daniel, Caleb",10,4,17,9,12,9,14,14,10,7,15,17,10,13,19,21,10,14,225.0
"Dickson, Tory",,,,,,,,,,,,,,-,,,,,
"Dunkley, Josh",9,8,4,,,,,,,11,7,4,4,5,7,8,6,12,85.0
"Duryea, Taylor",,,,,,,,,,,,,,,,10,13,12,35.0
"English, Tim",9,7,10,12,9,8,10,6,6,7,4,7,3,7,5,5,7,7,129.0
"Gardner, Ryan",8,4,,,,,,,,,2,3,3,3,3,5,1,9,41.0
"Gowers, Billy",,3,,,,,,5,4,,,,,,,,,,12.0
"Hayes, Will",,,,,,,,,,,,,,4,3,,,,7.0
"Hunter, Lachie",13,,,,,17,12,,,,,11,15,16,16,9,17,11,137.0
"Johannisen, Jason",11,7,14,9,15,7,7,10,5,7,11,,15,12,8,12,7,8,165.0
"Jong, Lin",,7,2,,3,,,,,,,,,,,,,,12.0
"Keath, Alex",13,4,9,4,7,9,5,7,4,4,4,8,8,7,2,6,6,6,113.0
"Liberatore, Tom",,,9,10,9,10,9,10,8,7,9,12,10,6,11,12,12,6,150.0
"Lipinski, Patrick",,7,,7,7,5,6,10,5,8,8,6,9,,,,7,5,90.0
"Lloyd, Sam",6,5,2,3,,,,,4,9,7,4,,,7,,,,47.0
"Macrae, Jack",11,8,10,10,10,11,14,13,15,13,15,14,9,8,10,15,7,13,206.0
"McLean, Toby",,,8,2,10,6,,,5,6,2,4,4,4,5,1,,,57.0
"Naughton, Aaron",1,7,5,3,,,,,,,2,7,3,6,3,6,1,2,46.0
"Porter, Callum",,,,,,,,4,,,,,,,,,,,4.0
"Richards, Ed",,6,8,6,5,8,6,6,3,7,4,6,5,6,3,6,3,5,93.0
"Schache, Josh",,,,,7,1,,,,,,,,,,,,,8.0
"Smith, Bailey",9,9,11,7,-,11,15,14,10,9,11,26,12,12,9,11,5,9,190.0
"Smith, Roarke",,,,,,,,,,3,,3,,,5,6,5,7,29.0
"Suckling, Matt",8,9,9,,,,11,4,1,,,,,,,5,,,47.0
"Trengove, Jackson",,,,,,,,,2,,,,,,,,,,2.0
"Vandermeer, Laitham",,6,5,6,9,9,5,7,5,6,7,,7,-,,,,,72.0
"Wallis, Mitch",5,4,4,6,6,1,7,3,4,2,7,5,7,3,4,5,6,4,83.0
"Weightman, Cody",,,,,,,5,3,,3,,,,,,,,,11.0
"West, Rhylee",,,,7,5,6,,,,,,5,,,,,,,23.0
"Williams, Bailey",9,6,12,9,8,10,11,14,14,16,12,17,14,11,10,8,10,11,202.0
"Wood, Easton",7,,,,8,5,5,9,8,6,5,9,5,2,,,5,5,79.0
"Young, Lachie",,,,,,,3,8,,,,,,,,,,,11.0
"Young, Lewis",3,,,,,,,,,,,,,,,,,,3.0
Totals,163,142,177,165,166,168,180,180,141,156,159,201,177,146,157,192,162,175,3007.0
Opponent,CW,SK,GW,SY,NM,CA,ES,GC,RI,PA,BL,AD,ME,GE,WC,HW,FR,SK,
