Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,Tot
"Barrass, Tom",,,,,,,,,,,,9,11,14,8,17,11,,11,6,,17,11,115.0
"Bennell, Jamie",17,5,,,,,,,,,,,,,,,,,,,,,,22.0
"Brown, Mitch",,,,,,,,,,,,,,13,9,6,,,,,,,5,33.0
"Butler, Sam",17,12,14,18,15,12,,25,14,16,16,,13,13,15,15,13,9,,10,13,14,24,298.0
"Cole, Tom",,,,,,,,,,14,12,,,,,,,,,,,,,26.0
"Cripps, Jamie",16,11,9,8,12,11,9,7,11,18,15,10,14,14,13,16,15,15,20,13,17,12,6,292.0
"Darling, Jack",17,12,15,12,11,16,14,7,9,14,14,9,12,11,7,11,16,8,18,12,12,13,11,281.0
"Duggan, Liam",16,7,8,13,14,15,15,21,12,15,11,9,,,,,8,11,,,,,,175.0
"Ellis, Xavier",10,,,,,,,,,,,12,,,,,,,,,,,,22.0
"Gaff, Andrew",33,30,32,33,32,21,36,36,17,,23,22,28,35,26,30,26,35,19,29,38,41,35,657.0
"Giles, Jonathan",,,,,,,,,,,,,6,,,,6,,,,,15,8,35.0
"Hill, Josh",19,14,14,8,12,15,12,12,15,15,17,19,11,,9,13,11,14,9,7,4,8,11,269.0
"Hurn, Shannon",10,15,17,17,23,17,15,17,13,19,21,16,16,25,19,16,19,16,23,13,15,26,25,413.0
"Hutchings, Mark",,,,9,,19,18,21,20,8,16,19,13,18,11,12,,21,13,18,10,17,25,288.0
"Jetta, Lewis",,8,17,16,13,10,9,,,17,,,15,15,9,,,,,,13,10,,152.0
"Karpany, Malcolm",,,,,,,,,,,,,,,,,,8,,,,,,8.0
"Kennedy, Josh",25,18,17,11,18,16,10,13,15,14,5,13,10,9,15,8,7,12,13,13,9,13,16,300.0
"LeCras, Mark",25,16,22,16,13,27,11,13,12,12,13,12,15,17,20,18,16,9,18,13,24,17,17,376.0
"Lycett, Scott",11,9,14,14,,14,12,14,13,15,9,8,,18,12,12,18,17,10,2,16,11,9,258.0
"Mackenzie, Eric",24,14,15,14,13,9,10,19,15,14,13,,,,,,7,13,,,,,,180.0
"Masten, Chris",,,18,15,28,14,22,30,19,21,21,21,21,33,23,18,12,15,33,20,30,27,27,468.0
"McGinnity, Patrick",,,,,,,,,,,,,,14,10,12,,,,,,,,36.0
"McGovern, Jeremy",9,14,12,15,23,17,21,18,9,10,,16,16,19,14,18,15,12,20,16,17,15,13,339.0
"McInnes, Fraser",,,,,5,,,,,,,,9,,,,,,,,,,,14.0
"Naitanui, Nic",22,9,15,16,13,14,16,12,13,8,6,8,,,,,,,7,16,12,,,187.0
"Nelson, Jackson",15,9,11,11,,,,,,,,,,14,,,10,,16,,11,,,97.0
"Priddis, Matt",43,19,31,,28,23,28,28,27,24,27,29,16,24,25,24,24,31,33,26,29,33,25,597.0
"Redden, Jack",25,19,10,14,14,22,13,11,22,22,15,15,16,,,8,15,,,,,,,241.0
"Schofield, Will",13,5,5,15,10,5,7,12,8,10,11,9,9,15,14,8,,9,14,7,7,7,10,210.0
"Sheed, Dom",,,,,,,,,,,,,,,,,,8,12,15,20,30,9,94.0
"Sheppard, Brad",21,9,16,20,16,21,24,15,13,21,15,18,18,13,13,12,15,12,18,12,14,18,20,374.0
"Shuey, Luke",30,25,31,22,24,25,19,31,23,26,21,22,25,27,29,23,24,28,23,38,21,31,28,596.0
"Tunbridge, Simon",,,,,,,,,,,,,,,,,,8,10,11,,,,29.0
"Wellingham, Sharrod",,,,,22,5,23,22,24,16,9,11,20,21,15,17,13,11,24,7,17,25,15,317.0
"Yeo, Elliot",20,13,21,25,17,,13,20,19,,12,18,21,20,17,16,11,,14,21,14,8,13,333.0
Totals,438,293,364,342,376,348,357,404,343,349,322,325,335,402,333,330,312,322,378,325,363,408,363,8132.0
Opponent,BL,HW,FR,RI,SY,CW,GE,SK,PA,GC,WB,AD,BL,ES,NM,CA,ME,CW,FR,GW,HW,AD,WB,
