Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,R17,R18,QF,PF,Tot
"Amon, Karl",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Boak, Travis",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Bonner, Riley",,-,-,-,-,,,-,,,,,-,-,,-,-,,,
"Burton, Ryan",-,-,,,,-,-,,,,,,,-,-,,,-,-,
"Butters, Zak",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,
"Byrne-Jones, Darcy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Clurey, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,
"Dixon, Charlie",,4,6,1,5,6,-,1,-,4,4,3,-,6,4,-,1,-,1,46.0
"Duursma, Xavier",-,-,-,,,,-,-,-,-,-,-,,-,-,-,-,-,-,
"Ebert, Brad",-,-,-,-,-,-,,-,-,,,,-,-,,-,-,-,-,
"Farrell, Kane",,,,-,-,-,-,-,-,-,-,-,,,-,-,,,,
"Georgiades, Mitch",-,,,,,,,-,-,-,-,-,-,,,,,,,
"Gray, Robbie",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hartlett, Hamish",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Houston, Dan",-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,
"Jonas, Tom",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Ladhams, Peter",,,,,,,16,14,10,32,11,9,,,,10,4,4,14,124.0
"Lienert, Jarrod",-,,,,,,,,-,,-,,-,,,,-,,,
"Lycett, Scott",22,32,37,15,20,21,,,,,16,20,22,26,27,22,22,20,30,352.0
"Marshall, Todd",2,-,-,-,1,-,-,-,,,,,,-,-,-,-,-,-,3.0
"Mayes, Sam",,,,,,,-,-,-,-,,-,-,,,,,,,
"McKenzie, Trent",-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,
"Motlop, Steven",-,-,-,-,-,-,-,,,,,-,-,,-,-,-,-,-,
"Powell-Pepper, Sam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Rockliff, Tom",-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,
"Rozee, Connor",-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,
"Sutcliffe, Cam",,,,,,-,,,,,-,,,-,-,,,,,
"Westhoff, Justin",7,4,1,1,3,6,1,1,3,8,,,4,3,,,,,,42.0
"Wines, Ollie",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Woodcock, Boyd",,,,,,,,,,-,-,-,-,,,,-,,,
Totals,31,40,44,17,29,33,17,16,13,44,31,32,26,35,31,32,27,24,45,567.0
Opponent,GC,AD,FR,WC,BL,GW,CA,SK,ME,WB,RI,GE,HW,SY,NM,ES,CW,GE,RI,
