Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,EF,SF,Tot
"Bonar, Aiden",,,,,,,,,,,,,,,,,,,-,-,-,-,,,
"Buckley, Dylan",,,,,,,-,,,-,,,,,,,,,,,,,,,
"Buntine, Matt",,,,,,,,,,-,,,,,,,-,-,-,-,-,-,-,-,
"Cameron, Jeremy",3,-,-,-,-,-,,-,-,-,-,3,-,,,,,,-,-,-,-,-,-,6.0
"Coniglio, Stephen",2,3,-,-,-,-,-,-,-,2,-,,-,-,-,1,-,-,2,-,-,1,-,-,11.0
"Corr, Aidan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Cumming, Isaac",,,,,,,,-,-,,,,,,,,,,,,,,,,
"Daniels, Brent",,,,,,,,,,,,,,,-,-,-,-,-,-,-,,,,
"Davis, Phil",-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Deledio, Brett",-,-,-,-,3,-,,,,,,,,,,,-,-,-,,,,-,-,3.0
"Finlayson, Jeremy",-,-,-,-,-,-,-,-,-,,,,-,-,-,,,,,,-,-,,,
"Greene, Toby",1,,,-,-,,,,,,,,,,,-,-,-,-,,,,-,-,1.0
"Griffen, Ryan",,,,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,-,-,,,-,1.0
"Haynes, Nick",-,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5.0
"Himmelberg, Harry",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Hopper, Jacob",,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
"Keeffe, Lachlan",,,,,,,-,-,-,,,,,,,,-,,,-,-,-,,-,
"Kelly, Josh",-,1,-,,,,,,,-,-,2,1,-,-,-,2,1,3,-,,-,-,,10.0
"Kennedy, Adam",,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,
"Langdon, Zac",-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Lloyd, Daniel",-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,-,,,
"Lobb, Rory",-,-,-,,,,,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,
"Mohr, Tim",,,,,,,,,-,-,,,,,,,,,,,,,,,
"Patton, Jonathon",-,-,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,
"Perryman, Harry",,,-,,,,,,-,-,-,-,,,-,,,,,,-,-,-,,
"Reid, Sam",-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,,-,-,-,
"Scully, Tom",,-,,,,,,,,,,,,,,,,,,,,,,,
"Shaw, Heath",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
"Shiel, Dylan",-,-,-,-,1,3,-,-,-,-,3,-,3,-,-,-,-,-,,-,-,-,-,-,10.0
"Shipley, Nick",,,,,,-,-,,,,,,,,,,,,,,,,,,
"Simpson, Dawson",,,,-,-,,,,,,,,-,-,-,-,-,-,-,,,,,,
"Taranto, Tim",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,
"Taylor, Sam",,,,,,,,,,,-,-,-,-,-,-,,-,-,,,,,,
"Tomlinson, Adam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Ward, Callan",-,-,-,3,-,-,-,1,-,-,-,-,-,3,-,3,-,-,1,2,-,-,-,-,13.0
"Whitfield, Lachie",-,-,-,-,-,2,-,-,-,-,-,1,2,-,-,2,3,3,-,3,-,-,-,-,16.0
"Williams, Zac",,,,,,,,,,,,,,,,,,,,,,,-,-,
"de Boer, Matt",-,-,-,-,-,-,-,-,,,,-,-,-,-,,,,-,,,,-,-,
Totals,6,4,2,5,4,5,0,1,0,2,4,6,6,4,0,6,5,4,6,5,0,1,0,0,76.0
Opponent,WB,CW,SY,FR,SK,BL,GE,WC,NM,ES,AD,GC,BL,HW,WC,RI,PA,SK,CA,AD,SY,ME,SY,CW,
