Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,SF,PF,Tot
"Antonie, Colin",,,,,,,1,,1,,,-,,,3,5,15,12,,,,,,,37.0
"Besanko, Neil",-,,,7,13,15,1,6,9,9,10,11,12,6,11,9,15,8,6,6,13,3,11,-,181.0
"Breen, Barry",13,11,12,11,,,,,,10,9,16,11,13,7,11,12,14,19,17,,,16,18,220.0
"Colling, Gary",,,2,,3,5,12,8,5,4,10,3,8,,8,10,7,8,15,7,7,10,20,5,157.0
"Davis, Allan",2,19,13,6,,13,20,10,19,13,21,9,10,,,,,,,,,,,,155.0
"Ditterich, Carl",11,8,12,18,11,13,9,15,14,13,15,,,10,,,,,10,20,,,15,8,202.0
"Elliott, Glenn",12,3,,,5,9,9,,,,,,,3,,16,-,8,,-,9,6,,,80.0
"Evans, John",,,6,5,-,,,,,8,9,19,8,,4,-,,,,,,,,,59.0
"Griffiths, Daryl",19,22,17,25,20,14,23,19,29,13,18,30,12,19,17,16,19,22,20,22,18,17,1,10,442.0
"Kennedy, Des",,,,,,,,,,,,,,,,,,,,,10,14,,,24.0
"Lawrence, Barry",16,16,11,,11,13,13,6,10,14,12,18,14,17,21,11,10,9,10,16,7,12,12,7,286.0
"Lilley, Jon",,,,10,6,12,,,,,,,,,,-,12,6,10,8,,,11,9,84.0
"Manzie, John",,,,,,4,19,21,19,12,13,14,12,19,10,21,14,20,16,9,13,18,18,13,285.0
"McIntosh, John",13,9,4,9,6,14,14,17,9,18,19,8,13,9,9,14,13,15,15,18,21,21,11,11,310.0
"Moran, Jeff",24,15,9,13,12,12,11,11,15,8,9,12,11,11,11,8,12,11,14,12,16,8,15,15,295.0
"Murray, Bob",8,16,11,7,14,13,11,12,13,15,13,19,7,8,13,12,18,9,7,10,7,11,10,6,270.0
"Mynott, Brian",,1,,,,,10,6,9,11,7,15,10,8,15,7,10,9,8,8,4,7,10,15,170.0
"Neale, Kevin",15,7,14,14,10,13,13,12,10,6,,8,,9,16,7,12,11,14,2,,,8,11,212.0
"Nisbet, Darryl",,,,,,,,,,,,,,,,,,,,,-,,,,
"ODea, Jim",17,11,12,10,15,23,10,16,,6,,,11,6,,,,,,,,11,,10,158.0
"ODonnell, John",,,,,,,10,5,,,,,,,,,,,,,,,,,15.0
"Pascoe, Barry",18,19,18,14,7,6,,,,,,,,,,,,,,,,,,,82.0
"Pascoe, Bob",11,9,4,3,13,3,,,,2,,1,3,,,,,,,,4,11,1,,65.0
"Payze, Travis",21,16,14,22,18,20,24,16,28,18,21,20,24,22,26,16,20,16,24,21,13,14,22,7,463.0
"Rae, Stephen",,18,13,10,8,,,12,8,15,-,9,1,5,12,,,12,18,17,9,15,15,13,210.0
"Roberts, Stephen",9,5,7,,,,,,-,,-,,,,4,8,-,-,-,,8,7,,,48.0
"Smith, Ross",17,25,21,14,,,,,,,,,,23,25,15,21,24,22,17,14,23,21,18,300.0
"Stewart, Ian",19,,,21,19,21,18,16,27,,23,31,24,18,21,,,,14,,,9,,11,292.0
"Theodore, Stephen",9,14,11,7,11,12,11,9,2,,9,11,16,4,,13,10,,2,4,-,7,5,-,167.0
"Trott, Stuart",18,16,14,22,20,10,28,18,26,13,25,22,25,13,11,25,20,28,30,21,12,29,21,20,487.0
"Ward, Geoff",,,,,,,,4,9,9,14,,11,10,4,,12,7,,9,13,,6,,108.0
Totals,272,260,225,248,222,245,267,239,262,217,257,276,243,233,248,224,252,249,274,244,198,253,249,207,5864.0
Opponent,NM,FI,FO,RI,CA,SM,HW,GE,ME,CW,ES,NM,FI,FO,RI,CA,SM,HW,GE,ME,CW,ES,SM,CA,
