Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,Tot
"Amon, Karl",12,12,16,14,12,12,14,15,13,13,15,14,13,14,189.0
"Blanck, James",3,4,,,,,,,1,8,1,6,3,3,29.0
"Bramble, Lachlan",12,18,4,,,,,3,8,21,12,12,7,13,110.0
"Breust, Luke",8,7,5,9,7,3,7,,2,8,8,10,4,5,83.0
"Brockman, Tyler",,,8,2,5,4,4,2,,8,5,12,4,4,58.0
"Butler, Sam",,1,,,,,,,6,5,3,7,4,3,29.0
"Day, Will",12,11,20,13,,,12,13,10,10,15,6,13,14,149.0
"Frost, Sam",7,4,12,7,6,12,12,9,7,9,7,5,,4,101.0
"Grainger-Barras, Denver",,,,,5,2,,,,,,,,,7.0
"Greene, Fergus",5,9,7,4,8,7,2,-,,,,,,,42.0
"Hardwick, Blake",12,8,19,10,16,16,21,10,12,8,10,15,16,20,193.0
"Impey, Jarman",12,12,12,17,8,14,17,9,9,9,18,22,15,20,194.0
"Jiath, Changkuoth",11,10,12,7,7,12,8,,10,,,,,,77.0
"Koschitzke, Jacob",3,5,,,,,,,3,4,5,5,4,2,31.0
"Lewis, Mitch",,,,,,,11,7,3,16,7,12,9,7,72.0
"Long, Ned",,,,,7,1,,,,,,,,,8.0
"Lynch, Max",,,,,,-,,,,,,,,,
"Macdonald, Bailey",,,,,,,,,,,,4,,,4.0
"Macdonald, Connor",15,9,10,6,9,11,,8,,6,2,10,13,4,103.0
"Mackenzie, Cam",13,7,11,7,3,5,,,7,8,5,5,5,4,80.0
"Maginness, Finn",9,5,6,7,,,,,,,,,,,27.0
"Meek, Lloyd",3,5,4,8,3,,,3,3,4,2,-,3,1,39.0
"Mitchell, Seamus",,,,,9,10,5,10,15,12,10,,9,13,93.0
"Moore, Dylan",10,15,18,6,9,5,10,13,7,11,19,12,12,9,156.0
"Morrison, Harry",,,18,12,15,9,11,17,11,,,,,,93.0
"Nash, Conor",6,10,15,3,8,11,4,7,7,16,10,4,11,15,127.0
"Newcombe, Jai",8,16,15,9,14,11,6,9,11,13,17,8,14,10,161.0
"Ramsden, Max",,,,,,,1,,,,,,,,1.0
"Reeves, Ned",3,2,4,1,7,1,5,1,,5,2,3,1,3,38.0
"Scrimshaw, Jack",,,15,4,,3,7,10,,,,10,9,19,77.0
"Sicily, James",22,14,21,11,13,18,18,9,15,18,24,,23,,206.0
"Ward, Josh",12,8,14,17,11,,13,9,,,,,,,84.0
"Weddle, Josh",,,,,,,4,4,5,13,5,12,9,6,58.0
"Wingard, Chad",8,,,8,2,6,12,7,3,,,,,,46.0
"Worpel, James",18,14,9,9,17,12,15,16,13,8,8,10,14,12,175.0
Totals,224,206,275,191,201,185,219,191,181,233,210,204,215,205,2940.0
Opponent,ES,SY,NM,GE,GW,AD,WB,FR,ME,WC,SK,PA,BL,GC,
