Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Begley, Josh",,,,,,,,,,,-,,,,,,,
"Bellchambers, Tom",-,-,-,,,,-,-,,-,,-,,,,,,
"Cahill, Ned",,,,,,-,-,-,,,,,,,,,,
"Clarke, Dylan",,,,,,,,,,-,-,-,-,-,-,-,-,
"Cutler, Tom",-,-,,,,,,-,-,-,-,,,,,-,-,
"Daniher, Joe",,,,,,,,,,,,,1,-,,-,-,1.0
"Draper, Sam",,,,,,,,-,-,,-,-,,-,-,-,-,
"Fantasia, Orazio",-,,-,-,-,-,,,,,,,,,,,,
"Francis, Aaron",-,-,-,,,,-,-,-,-,,-,,,,,,
"Gleeson, Martin",,,-,-,-,,-,-,,-,-,-,-,-,-,-,-,
"Guelfi, Matt",-,-,,,,,,,-,-,-,-,-,-,-,-,-,
"Ham, Brayden",,,-,-,-,-,-,-,,,,-,-,,,-,-,
"Heppell, Dyson",,-,,,,,,,,,,,,-,-,,,
"Hibberd, Mitchell",,,,-,-,-,-,,,,,,,,,-,,
"Hooker, Cale",,-,-,-,-,-,,,,,,,-,-,-,,,
"Hurley, Michael",-,-,-,-,-,-,-,-,-,,-,-,,-,-,,-,
"Langford, Kyle",-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
"Laverde, Jayden",-,,,-,-,-,-,,,,,,,,,,-,
"McDonald-Tipungwuti, Anthony",-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2.0
"McGrath, Andrew",-,-,-,-,3,-,2,-,-,-,-,-,2,-,,,,7.0
"McKenna, Conor",,,,,-,-,-,,-,-,-,,,,,,,
"McKernan, Shaun",,-,-,-,-,-,-,,-,-,-,,,,,,,
"Merrett, Zach",-,3,-,,-,-,3,-,2,-,-,2,3,-,-,-,-,13.0
"Mosquito, Irving",,,,,,,,,,,,-,-,-,-,,,
"Mutch, Kobe",,,,,,,,,,,-,,,,,,,
"Parish, Darcy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Phillips, Andrew",,,,-,-,-,,,,,,,-,,,-,,
"Redman, Mason",-,-,-,-,,-,-,-,-,-,,-,-,,-,,-,
"Ridley, Jordan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Saad, Adam",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0
"Shiel, Dylan",3,-,-,3,-,,,-,-,-,-,-,-,-,-,-,-,6.0
"Smith, Devon",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Snelling, Will",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Stewart, James",,,,,,,,-,-,-,-,-,-,-,-,-,-,
"Stringer, Jake",-,-,-,2,,,,,,,,-,-,-,-,-,-,2.0
"Townsend, Jacob",-,-,-,-,-,-,-,-,-,,-,,,,-,-,,
"Zaharakis, David",-,-,-,-,2,-,-,-,-,2,,,,,,,,4.0
"Zerk-Thatcher, Brandon",-,,,,,,,-,-,-,-,,-,-,-,-,-,
Totals,5,3,0,5,5,0,5,0,2,2,0,2,6,2,0,0,0,37.0
Opponent,FR,SY,CA,CW,NM,WB,AD,BL,GW,GC,SK,RI,HW,WC,GE,PA,ME,
