Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,EF,SF,Tot
"Bartram, Clint",6,8,7,4,5,3,7,3,7,6,7,6,7,9,9,3,9,6,4,6,10,-,,,132.0
"Bate, Matthew",,,,,5,17,7,3,,13,8,7,,,,,10,16,10,8,,5,9,3,121.0
"Bell, Daniel",,,,,,3,14,3,6,11,3,,,,,,,5,,6,11,7,9,9,87.0
"Brown, Nathan",10,,19,14,11,7,,,,,,,,,,,12,10,8,,,,,21,112.0
"Bruce, Cameron",13,21,17,13,9,18,13,10,11,14,19,14,17,11,7,10,15,5,13,11,10,13,15,4,303.0
"Carroll, Nathan",7,4,12,9,6,4,10,4,8,12,15,10,8,4,11,5,11,8,6,6,6,3,6,7,182.0
"Davey, Aaron",14,6,9,10,17,15,19,11,8,10,16,10,10,8,13,8,13,,,9,17,11,6,13,253.0
"Dunn, Lynden",,,,,,7,14,10,4,5,5,8,4,,8,4,,,1,,,,,,70.0
"Ferguson, Ryan",6,-,,,,,,,,,,,,,,,,,6,,,,,,12.0
"Godfrey, Simon",,,,8,4,6,5,4,6,9,6,,,,16,12,7,9,12,15,5,1,,,125.0
"Green, Brad",12,10,15,10,14,16,11,13,15,4,18,20,12,21,15,15,,11,8,15,11,11,20,11,308.0
"Holland, Ben",,,,,5,9,,,,10,8,4,5,7,6,5,4,7,3,3,9,,6,4,95.0
"Jamar, Mark",2,3,-,,4,1,3,4,2,1,3,2,1,2,1,1,2,1,-,-,2,2,-,,37.0
"Johnson, Chris",,10,,,,,,,14,12,9,8,8,6,6,,,,3,,,,,,76.0
"Johnson, Paul",1,,,6,,,,,,,,,,,,,,,,,,,,,7.0
"Johnstone, Travis",8,12,14,7,15,10,23,25,13,16,23,19,19,16,11,19,13,,,15,19,24,17,17,355.0
"Jones, Nathan",,,,,,,,,,,,,,,,,11,10,4,14,10,6,5,4,64.0
"McDonald, James",11,12,9,13,10,10,12,17,19,14,12,17,10,9,12,13,12,18,11,13,12,13,12,10,301.0
"McLean, Brock",,7,16,6,,19,17,18,15,18,,,12,11,,,16,8,7,24,14,13,14,13,248.0
"Miller, Brad",5,2,5,7,6,,13,4,4,,,,,3,,,,,4,7,3,10,5,16,94.0
"Moloney, Brent",17,4,,,7,12,4,16,12,,,,,,,,,,,,,,,,72.0
"Motlop, Shannon",11,,,,,,,,,,,,,,,,,,8,,,6,,,25.0
"Neitz, David",7,9,7,1,,,7,8,5,14,6,7,12,12,5,8,8,9,4,13,,6,9,6,163.0
"Pickett, Byron",9,14,11,18,17,8,15,13,6,11,17,4,8,12,11,4,1,,,,15,,11,10,215.0
"Read, Phillip",,,,,,,,,,,14,5,4,12,,8,,,,,,,,,43.0
"Rivers, Jared",,,14,8,7,14,3,10,8,8,9,8,8,10,9,3,4,7,6,7,4,8,4,7,166.0
"Robertson, Russell",9,8,9,9,9,10,14,8,8,9,4,10,7,4,18,7,5,8,,5,7,8,7,7,190.0
"Smith, Nick",,,,,,,,,,,,,,,,,,,,,,,,1,1.0
"Sylvia, Colin",12,14,7,8,5,5,,,,,,3,7,14,7,6,6,9,,,8,9,11,11,142.0
"Ward, Daniel",9,15,8,,,,,,,,13,13,8,19,9,10,16,8,9,14,13,10,9,13,196.0
"Warnock, Matthew",,,5,-,,,,,,,,,,,,,,,,,,,,,5.0
"Wheatley, Paul",,7,11,11,4,,,,,,,,,,16,6,,10,,,,,,,65.0
"Whelan, Matthew",10,7,4,10,5,,6,9,8,6,,7,8,13,16,5,13,10,,4,2,,5,,148.0
"White, Jeff",10,6,9,11,4,8,8,12,10,12,13,11,8,12,8,8,11,8,6,7,7,11,9,5,214.0
"Yze, Adem",14,10,14,8,15,20,23,13,14,19,13,13,20,15,16,19,18,13,13,18,16,12,11,9,356.0
Totals,203,189,222,191,184,222,248,218,203,234,241,206,203,230,230,179,217,196,146,220,211,189,200,201,4983.0
Opponent,CA,WB,AD,SY,KA,GE,FR,HW,WC,SK,CW,ES,PA,BL,RI,FR,WB,CA,SY,KA,GE,AD,SK,FR,
