Player,R1,R2,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Tot
"Begley, Josh",,,,,,,,,,,-,,,,,,,
"Bellchambers, Tom",29,27,24,,,,19,13,,18,,9,,,,,,139.0
"Cahill, Ned",,,,,,-,-,-,,,,,,,,,,
"Clarke, Dylan",,,,,,,,,,-,-,-,-,-,-,-,-,
"Cutler, Tom",-,-,,,,,,-,-,-,-,,,,,-,-,
"Daniher, Joe",,,,,,,,,,,,,-,-,,-,2,2.0
"Draper, Sam",,,,,,,,21,16,,22,14,,17,26,19,13,148.0
"Fantasia, Orazio",-,,-,-,-,-,,,,,,,,,,,,
"Francis, Aaron",-,-,-,,,,-,-,-,-,,-,,,,,,
"Gleeson, Martin",,,-,-,-,,-,-,,-,-,-,-,-,-,-,-,
"Guelfi, Matt",-,-,,,,,,,-,-,-,-,-,-,-,-,-,
"Ham, Brayden",,,-,-,-,-,-,-,,,,-,-,,,-,-,
"Heppell, Dyson",,-,,,,,,,,,,,,-,-,,,
"Hibberd, Mitchell",,,,-,-,-,-,,,,,,,,,-,,
"Hooker, Cale",,-,-,-,-,-,,,,,,,-,-,-,,,
"Hurley, Michael",-,-,-,-,-,-,-,-,-,,-,-,,-,-,,-,
"Langford, Kyle",-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,
"Laverde, Jayden",-,,,-,-,-,-,,,,,,,,,,-,
"McDonald-Tipungwuti, Anthony",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"McGrath, Andrew",-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,
"McKenna, Conor",,,,,-,-,-,,-,-,-,,,,,,,
"McKernan, Shaun",,3,8,-,4,8,6,,6,6,-,,,,,,,41.0
"Merrett, Zach",-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Mosquito, Irving",,,,,,,,,,,,-,-,-,-,,,
"Mutch, Kobe",,,,,,,,,,,-,,,,,,,
"Parish, Darcy",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Phillips, Andrew",,,,13,28,28,,,,,,,21,,,17,,107.0
"Redman, Mason",-,-,-,-,,-,-,-,-,-,,-,-,,-,,-,
"Ridley, Jordan",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Saad, Adam",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Shiel, Dylan",-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,
"Smith, Devon",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,
"Snelling, Will",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Stewart, James",,,,,,,,-,-,-,-,-,1,3,3,-,3,10.0
"Stringer, Jake",-,-,-,-,,,,,,,,-,-,-,-,-,-,
"Townsend, Jacob",-,-,-,-,-,-,-,-,-,,-,,,,-,-,,
"Zaharakis, David",-,-,-,-,-,-,-,-,-,-,,,,,,,,
"Zerk-Thatcher, Brandon",-,,,,,,,-,-,-,-,,-,-,-,-,-,
Totals,29,30,32,13,32,36,25,34,22,24,22,23,22,20,29,36,18,447.0
Opponent,FR,SY,CA,CW,NM,WB,AD,BL,GW,GC,SK,RI,HW,WC,GE,PA,ME,
