Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,R17,R18,R19,R20,R21,R22,R23,QF,SF,Tot
"Bedford, Toby",4,-,-,-,-,-,4,-,,2,6,-,,6,5,2,3,-,,,,,,,32.0
"Bowey, Jake",1,10,5,7,10,10,8,6,6,4,10,3,8,5,5,6,,,,,,7,,,111.0
"Brayshaw, Angus",11,5,10,11,9,8,11,10,8,7,9,5,7,12,5,11,6,6,8,17,14,9,8,4,211.0
"Brown, Ben",4,3,,,,7,2,2,2,2,1,2,3,1,4,2,5,,,10,2,1,3,3,59.0
"Brown, Mitch",,,,,,,,,,,,3,4,,1,,,,,,,,,,8.0
"Chandler, Kade",,,,,,,1,,2,,,,-,,,,,,-,,,,,,3.0
"Dunstan, Luke",,,,,,13,4,,,14,10,,,,,,-,,,,,,,,41.0
"Fritsch, Bayley",1,3,1,4,1,3,3,-,4,4,2,1,3,2,1,1,6,4,3,6,3,-,4,-,60.0
"Gawn, Max",3,5,4,7,7,6,10,4,7,3,4,10,4,,,8,8,9,3,10,8,2,5,3,130.0
"Harmes, James",11,12,13,16,12,10,5,3,7,,,5,7,8,9,13,11,4,,-,-,8,8,8,170.0
"Hibberd, Michael",,,,,,,,,,,,,6,9,3,5,2,4,5,5,4,5,7,7,62.0
"Hunt, Jayden",4,1,4,2,6,3,4,8,6,-,3,3,,-,,-,,,4,5,5,3,3,2,66.0
"Jackson, Luke",9,10,12,6,6,10,,6,14,11,11,6,9,12,,8,8,8,7,12,5,7,5,3,185.0
"Jordon, James",10,17,6,14,9,10,12,6,12,11,13,10,6,11,9,11,6,4,12,14,8,1,,,212.0
"Langdon, Ed",10,9,15,11,11,13,3,16,9,1,,10,4,4,15,9,8,8,13,10,6,6,7,8,206.0
"Lever, Jake",,,,4,7,,6,6,3,8,2,5,6,10,4,6,3,,2,8,4,2,3,1,90.0
"May, Steven",1,3,4,3,9,5,3,5,3,2,-,,,4,3,2,2,2,3,6,3,4,2,2,71.0
"McDonald, Tom",2,4,-,1,3,,6,4,6,5,,,,,,,,,,,,,,,31.0
"Melksham, Jake",,,,,,,3,,,2,1,,,,,,2,1,2,4,2,4,2,4,27.0
"Neal-Bullen, Alex",8,10,6,11,7,18,,4,10,4,6,12,9,9,7,9,7,7,5,8,5,5,6,2,175.0
"Oliver, Clayton",13,15,18,9,17,21,15,23,19,23,19,20,22,21,26,21,,14,9,28,18,12,15,11,409.0
"Petracca, Christian",14,17,10,13,12,14,14,19,10,14,3,10,20,11,17,7,13,16,18,18,14,9,9,14,316.0
"Petty, Harry",,,,,5,7,,2,6,3,5,1,4,4,1,4,,4,5,4,5,5,6,9,80.0
"Pickett, Kysaiah",-,3,2,2,3,3,,4,7,-,2,6,2,3,2,3,1,1,1,3,3,4,1,3,59.0
"Rivers, Trent",,5,6,3,5,9,4,4,6,2,5,,,,,,7,6,8,5,6,6,6,1,94.0
"Salem, Christian",3,,,,,,,,,,,3,11,6,4,3,5,7,10,9,8,,6,3,78.0
"Smith, Joel",1,4,4,,,5,4,,,,,,,,,,,,,,,,-,-,18.0
"Spargo, Charlie",6,3,6,7,6,4,3,6,6,8,4,2,5,4,4,1,7,4,2,2,2,4,3,4,103.0
"Sparrow, Tom",7,12,6,7,11,9,,10,11,9,8,6,13,10,8,8,6,7,7,7,5,5,5,5,182.0
"Tomlinson, Adam",2,7,2,1,,,,,,,,3,,,-,,8,3,,,,,,,26.0
"Turner, Daniel",,,,,,,,,,,,,2,,,,,,,,,,,,2.0
"Viney, Jack",12,11,8,14,17,,14,12,17,,17,17,16,17,15,18,10,13,18,17,14,10,16,6,309.0
"Weideman, Sam",,,3,4,1,3,5,,,,3,,,7,7,,,4,-,,,,,,37.0
Totals,137,169,145,157,174,191,144,160,181,139,144,143,171,176,155,158,134,136,145,208,144,119,130,103,3663.0
Opponent,WB,GC,ES,PA,GW,RI,HW,SK,WC,NM,FR,SY,CW,BL,AD,GE,PA,WB,FR,CW,CA,BL,SY,BL,
